Smileys & Emotion
face-smiling			
330	U+1F469 U+200D U+1F680	👩‍🚀	woman astronaut
331	U+1F9D1 U+200D U+1F692	🧑‍🚒	firefighter
332	U+1F468 U+200D U+1F692	👨‍🚒	man firefighter
333	U+1F469 U+200D U+1F692	👩‍🚒	woman firefighter
334	U+1F46E	👮	police officer
335	U+1F46E U+200D U+2642 U+FE0F	👮‍♂️	man police officer
336	U+1F46E U+200D U+2640 U+FE0F	👮‍♀️	woman police officer
337	U+1F575	🕵	detective
338	U+1F575 U+FE0F U+200D U+2642 U+FE0F	🕵️‍♂️	man detective
339	U+1F575 U+FE0F U+200D U+2640 U+FE0F	🕵️‍♀️	woman detective
340	U+1F482	💂	guard
341	U+1F482 U+200D U+2642 U+FE0F	💂‍♂️	man guard
342	U+1F482 U+200D U+2640 U+FE0F	💂‍♀️	woman guard
343	U+1F977	🥷	ninja
344	U+1F477	👷	construction worker
345	U+1F477 U+200D U+2642 U+FE0F	👷‍♂️	man construction worker
346	U+1F477 U+200D U+2640 U+FE0F	👷‍♀️	woman construction worker
347	U+1FAC5	🫅	person with crown
348	U+1F934	🤴	prince
349	U+1F478	👸	princess
350	U+1F473	👳	person wearing turban
351	U+1F473 U+200D U+2642 U+FE0F	👳‍♂️	man wearing turban
352	U+1F473 U+200D U+2640 U+FE0F	👳‍♀️	woman wearing turban
353	U+1F472	👲	person with skullcap
354	U+1F9D5	🧕	woman with headscarf
355	U+1F935	🤵	person in tuxedo
356	U+1F935 U+200D U+2642 U+FE0F	🤵‍♂️	man in tuxedo
357	U+1F935 U+200D U+2640 U+FE0F	🤵‍♀️	woman in tuxedo
358	U+1F470	👰	person with veil
359	U+1F470 U+200D U+2642 U+FE0F	👰‍♂️	man with veil
360	U+1F470 U+200D U+2640 U+FE0F	👰‍♀️	woman with veil
361	U+1F930	🤰	pregnant woman
362	U+1FAC3	🫃	pregnant man
363	U+1FAC4	🫄	pregnant person
364	U+1F931	🤱	breast-feeding
365	U+1F469 U+200D U+1F37C	👩‍🍼	woman feeding baby
366	U+1F468 U+200D U+1F37C	👨‍🍼	man feeding baby
367	U+1F9D1 U+200D U+1F37C	🧑‍🍼	person feeding baby
person-fantasy			
368	U+1F47C	👼	baby angel
369	U+1F385	🎅	Santa Claus
370	U+1F936	🤶	Mrs. Claus
371	U+1F9D1 U+200D U+1F384	🧑‍🎄	mx claus
372	U+1F9B8	🦸	superhero
373	U+1F9B8 U+200D U+2642 U+FE0F	🦸‍♂️	man superhero
374	U+1F9B8 U+200D U+2640 U+FE0F	🦸‍♀️	woman superhero
375	U+1F9B9	🦹	supervillain
376	U+1F9B9 U+200D U+2642 U+FE0F	🦹‍♂️	man supervillain
377	U+1F9B9 U+200D U+2640 U+FE0F	🦹‍♀️	woman supervillain
378	U+1F9D9	🧙	mage
379	U+1F9D9 U+200D U+2642 U+FE0F	🧙‍♂️	man mage
380	U+1F9D9 U+200D U+2640 U+FE0F	🧙‍♀️	woman mage
381	U+1F9DA	🧚	fairy
382	U+1F9DA U+200D U+2642 U+FE0F	🧚‍♂️	man fairy
383	U+1F9DA U+200D U+2640 U+FE0F	🧚‍♀️	woman fairy
384	U+1F9DB	🧛	vampire
385	U+1F9DB U+200D U+2642 U+FE0F	🧛‍♂️	man vampire
386	U+1F9DB U+200D U+2640 U+FE0F	🧛‍♀️	woman vampire
387	U+1F9DC	🧜	merperson
388	U+1F9DC U+200D U+2642 U+FE0F	🧜‍♂️	merman
389	U+1F9DC U+200D U+2640 U+FE0F	🧜‍♀️	mermaid
390	U+1F9DD	🧝	elf
391	U+1F9DD U+200D U+2642 U+FE0F	🧝‍♂️	man elf
392	U+1F9DD U+200D U+2640 U+FE0F	🧝‍♀️	woman elf
393	U+1F9DE	🧞	genie
394	U+1F9DE U+200D U+2642 U+FE0F	🧞‍♂️	man genie
395	U+1F9DE U+200D U+2640 U+FE0F	🧞‍♀️	woman genie
396	U+1F9DF	🧟	zombie
397	U+1F9DF U+200D U+2642 U+FE0F	🧟‍♂️	man zombie
398	U+1F9DF U+200D U+2640 U+FE0F	🧟‍♀️	woman zombie
399	U+1F9CC	🧌	troll
person-activity			
400	U+1F486	💆	person getting massage
401	U+1F486 U+200D U+2642 U+FE0F	💆‍♂️	man getting massage
402	U+1F486 U+200D U+2640 U+FE0F	💆‍♀️	woman getting massage
403	U+1F487	💇	person getting haircut
404	U+1F487 U+200D U+2642 U+FE0F	💇‍♂️	man getting haircut
405	U+1F487 U+200D U+2640 U+FE0F	💇‍♀️	woman getting haircut
406	U+1F6B6	🚶	person walking
407	U+1F6B6 U+200D U+2642 U+FE0F	🚶‍♂️	man walking
408	U+1F6B6 U+200D U+2640 U+FE0F	🚶‍♀️	woman walking
409	U+1F9CD	🧍	person standing
410	U+1F9CD U+200D U+2642 U+FE0F	🧍‍♂️	man standing
411	U+1F9CD U+200D U+2640 U+FE0F	🧍‍♀️	woman standing
412	U+1F9CE	🧎	person kneeling
